product_name,actual_price,discount_price,description,processor,ram,storage,graphic_card,display_size,battery,resolution,ports,operating_system,image_link,product_link
Laptop Gigabyte G5 KF-E3PH333SH,25.990.000đ,21.990.000đ,"Laptop mang kiểu dáng cá tính, màn hình 15.6 inch rộng rãi
CPU Intel Core i5-12500H hỗ trợ thao tác nhanh chóng mọi tác vụ từ học tập, văn phòng cho đến giải trí
Card đồ họa RTX 4060 giúp bạn chơi mọi tựa game với mức đồ họa cao
Bàn phím hỗ trợ LED 15 màu cho mọi cuộc chơi trở nên hấp dẫn hơn bao giờ hết
",,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g5-kf-e3ph333sh.html
Laptop Gigabyte G5 KF5-53VN353SH,29.990.000đ,24.290.000đ,"Laptop Gaming sở hữu thiết kế cá tính, gam màu đen mạnh mẽ phù hợp với mọi gam thủ
CPU Intel Core i5-13500H mạnh mẽ, cân mọi tác vụ từ học tập, làm việc cho đến giải trí
Card đồ họa RTX 4060 cân mọi tựa game phổ biến hiện nay với mức cài đặt cao
Màn hình 15.6 inch Full HD cho không gian rộng rãi, màu sắc trung thực, rõ ràng
",,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g5-kf5-53vn353sh.html
Laptop Gigabyte G6 MF-H2VN854KH,27.590.000đ,25.990.000đ,"Trang bị bộ vi xử lý Intel Core i7-13620H, mang lại hiệu suất cao cho các tác vụ nặng.
Với 16GB RAM và ổ cứng 1TB PCIe, máy cung cấp không gian lưu trữ rộng rãi và đa nhiệm mượt mà.
Đặc biệt, card đồ họa rời NVIDIA GeForce RTX 4050 với 6GB VRAM giúp xử lý đồ họa 3D và chơi game mượt mà.
Màn hình 16.0 inch FHD+ với tần số quét 165Hz cho hình ảnh sắc nét và mượt mà, rất phù hợp cho game thủ và người làm đồ họa.
",,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g6-mf-h2vn854kh.html
Laptop Gigabyte G5 MF5-52VN383SH,25.790.000đ,21.390.000đ,"Laptop có thiết kế đẹp mắt, gam màu đen sang trọng
Màn hình 15.6 inch Full HD cùng tần số quét 144Hz cho mọi thao tác nhanh nhạy, bắt kịp mọi chuyển động của đối thủ
CPU Intel Core i5-13500H mạnh mẽ, hỗ trợ xử lý nhanh chóng mọi tác vụ từ học tập cho tới văn phòng
Card đồ họa RTX4050, hỗ trợ chơi mọi tựa game hiện nay với mức đồ họa cao
",,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g5-mf5-52vn383sh.html
Laptop Gigabyte MF F2VN333SH,22.990.000đ,19.990.000đ,"CPU intel Core i5-12450H cho phép thực hiện các tác vụ hàng ngày nhanh chóng và mượt mà
GPU GeForce RTX4050 cho hiệu suất tối thượng cho game thủ và nhà sáng tạo video
Màn hình 15.6 inch IPS 144Hz mang đến màu sắc chơi game chân thực
RAM 8GB cùng ổ cứng 512GB SSD hỗ trợ máy máy nhanh chóng, lưu trữ thoải mái
",,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g5-mf-f2vn333sh.html
Laptop Gigabyte G6 KF-H3VN853SH,29.990.000đ,27.990.000đ,"Sở hữu màn hình 16 inch với lớp vỏ đen thời thượng
CPU Intel Core i7-13620H hỗ trợ mình giải quyết nhanh gọn hàng loạt tác vụ mà không lo giật lag
Card  RTX 4060 8GB GDDR6 giúp giải quyết được khối lượng công việc nặng
RAM 16GB cùng ổ cứng 512 GB SSD ch không gian lưu trữ đủ lớn, lưu trữ tài liệu, hình ảnh,...
",,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g6-kf-h3vn853sh.html
Laptop Gigabyte G5 KF5-53VN383SH,Giá Liên Hệ,Giá Liên Hệ,"Sở hữu thiết kế đẹp mắt, gam màu đen sang trọng
CPU Intel Core i5-13500H xử lý nhanh chóng mọi tác vụ học tập, văn phòng
Card đồ họa RTX 4060 cân mọi tựa game với mức đồ họa cao nhất
RAM 8GB cùng ổ cứng 512GB cho không gian lưu trữ rộng rãi, hỗ trợ mở máy nhanh chóng
Màn hình 15.6 inch Full HD rộng rãi, tần số quét 144Hz bắt kịp mọi thao tác của đối thủ  
",,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g5-kf5-53vn383sh.html
Laptop Giagabyte G5 ME-51VN263SH,Giá Liên Hệ,Giá Liên Hệ,,,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g5-me-51vn263sh.html
Laptop Gigabyte G5 MF5-52VN353SH,Giá Liên Hệ,Giá Liên Hệ,"Sở hữu màn hình 15.6 inch với lớp vỏ đen thời thượng
CPU Intel Core i5 hỗ trợ mình giải quyết nhanh gọn hàng loạt tác vụ văn phòng Word, Excel,...
Card  RTX 4050 6GB GDDR6 giúp giải quyết được khối lượng công việc nặng
RAM 16GB cùng ổ cứng 512 GB SSD ch không gian lưu trữ đủ lớn, lưu trữ tài liệu, hình ảnh,...
",,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g5-mf5-52vn353sh.html
Laptop Gigabyte G5 MD-51S1123SH,Giá Liên Hệ,Giá Liên Hệ,,,,,,,,,,,,https://cellphones.com.vn/laptop-gigabyte-g5-md-51s1123sh.html
